Borough,Neighborhood,Season,Day_of_Week,Time_Bucket,Avg_Complaints_Per_Week,Std_Complaints,Num_Weeks
BRONX,Bronx Park and Fordham,Spring,5,evening,32.62222222222222,20.748671422352782,90
BRONX,Bronx Park and Fordham,Spring,5,morning,8.488888888888889,3.9526536227796267,90
BRONX,Bronx Park and Fordham,Spring,5,night,49.06666666666667,29.591146565420196,90
BRONX,Bronx Park and Fordham,Spring,5,overnight,11.8,6.732780783498873,90
BRONX,Bronx Park and Fordham,Spring,6,afternoon,21.164835164835164,9.558316607092296,91
BRONX,Bronx Park and Fordham,Spring,6,evening,40.637362637362635,33.80418004511555,91
BRONX,Bronx Park and Fordham,Spring,6,morning,9.659340659340659,4.5465977028488735,91
BRONX,Bronx Park and Fordham,Spring,6,night,52.879120879120876,34.74696954486667,91
BRONX,Bronx Park and Fordham,Spring,6,overnight,19.406593406593405,8.964098792130034,91
BRONX,Bronx Park and Fordham,Summer,0,afternoon,10.620253164556962,5.4779366260185745,79
BRONX,Bronx Park and Fordham,Summer,0,evening,23.050632911392405,12.303740034032609,79
BRONX,Bronx Park and Fordham,Summer,0,morning,7.756410256410256,4.838122146807159,78
BRONX,Bronx Park and Fordham,Summer,0,night,46.848101265822784,26.508386968692026,79
BRONX,Bronx Park and Fordham,Summer,0,overnight,14.683544303797468,11.832749321591637,79
BRONX,Bronx Park and Fordham,Summer,1,afternoon,10.50632911392405,4.971388439711836,79
BRONX,Bronx Park and Fordham,Summer,1,evening,23.670886075949365,12.805969680629962,79
BRONX,Bronx Park and Fordham,Summer,1,morning,5.565789473684211,3.0125759799692555,76
BRONX,Bronx Park and Fordham,Summer,1,night,30.025316455696203,18.91341586224072,79
BRONX,Bronx Park and Fordham,Summer,1,overnight,5.772151898734177,5.004995881267312,79
BRONX,Bronx Park and Fordham,Summer,2,afternoon,10.531645569620252,5.205607043686777,79
BRONX,Bronx Park and Fordham,Summer,2,evening,23.354430379746834,11.294471048877725,79
BRONX,Bronx Park and Fordham,Summer,2,morning,6.671052631578948,6.4423353072101355,76
BRONX,Bronx Park and Fordham,Summer,2,night,30.417721518987342,17.05391720918875,79
BRONX,Bronx Park and Fordham,Summer,2,overnight,6.962025316455696,5.433615781492957,79
BRONX,Bronx Park and Fordham,Summer,3,afternoon,11.316455696202532,6.107045749761391,79
BRONX,Bronx Park and Fordham,Summer,3,evening,25.759493670886076,14.712819449398557,79
BRONX,Bronx Park and Fordham,Summer,3,morning,5.886075949367089,3.5841078773118737,79
BRONX,Bronx Park and Fordham,Summer,3,night,32.9746835443038,18.12419737111936,79
BRONX,Bronx Park and Fordham,Summer,3,overnight,5.884615384615385,4.45753635651246,78
BRONX,Bronx Park and Fordham,Summer,4,afternoon,11.987179487179487,7.322787046146443,78
BRONX,Bronx Park and Fordham,Summer,4,evening,34.44871794871795,13.607338963209287,78
BRONX,Bronx Park and Fordham,Summer,4,morning,5.828947368421052,4.446386271703458,76
BRONX,Bronx Park and Fordham,Summer,4,night,54.717948717948715,22.571040770240998,78
BRONX,Bronx Park and Fordham,Summer,4,overnight,7.090909090909091,6.121966097547546,77
BRONX,Bronx Park and Fordham,Summer,5,afternoon,17.759493670886076,6.693309307355651,79
BRONX,Bronx Park and Fordham,Summer,5,evening,52.88607594936709,19.789914124904147,79
BRONX,Bronx Park and Fordham,Summer,5,morning,8.291139240506329,4.429365581516442,79
BRONX,Bronx Park and Fordham,Summer,5,night,93.9493670886076,37.46961118579695,79
BRONX,Bronx Park and Fordham,Summer,5,overnight,21.240506329113924,14.363607137371664,79
BRONX,Bronx Park and Fordham,Summer,6,afternoon,22.78481012658228,10.70905546132535,79
BRONX,Bronx Park and Fordham,Summer,6,evening,70.25316455696202,26.9003233010933,79
BRONX,Bronx Park and Fordham,Summer,6,morning,10.569620253164556,6.069434866405048,79
BRONX,Bronx Park and Fordham,Summer,6,night,109.36708860759494,47.8941614168719,79
BRONX,Bronx Park and Fordham,Summer,6,overnight,33.43037974683544,20.853385351620354,79
BRONX,Bronx Park and Fordham,Winter,0,afternoon,10.975903614457831,5.0460704431691985,83
BRONX,Bronx Park and Fordham,Winter,0,evening,12.285714285714286,5.126288092190178,84
BRONX,Bronx Park and Fordham,Winter,0,morning,7.036144578313253,3.3219366344396817,83
BRONX,Bronx Park and Fordham,Winter,0,night,15.964285714285714,6.7260443782081,84
BRONX,Bronx Park and Fordham,Winter,0,overnight,6.178571428571429,5.165130339940265,84
BRONX,Bronx Park and Fordham,Winter,1,afternoon,11.035714285714286,6.0984817952126775,84
BRONX,Bronx Park and Fordham,Winter,1,evening,12.94047619047619,4.813012458651767,84
BRONX,Bronx Park and Fordham,Winter,1,morning,6.219512195121951,3.634622232289675,82
